City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,frederico westphalen,-27.3592,-53.3944,15.94,71,100,0.64,BR,2024-08-27 19:40:06
116,qaqortoq,60.7167,-46.0333,5.43,81,100,1.4,GL,2024-08-27 19:38:32
117,ad dilam,23.9915,47.1627,36.1,14,47,3.9,SA,2024-08-27 19:44:33
118,new norfolk,-42.7826,147.0587,7.73,94,100,2.05,AU,2024-08-27 19:44:34
119,susuman,62.7833,148.1667,2.58,94,100,2.47,RU,2024-08-27 19:40:17
120,ilulissat,69.2167,-51.1,6.01,87,75,2.57,GL,2024-08-27 19:44:37
121,afif,23.9065,42.9172,33.17,18,76,3.76,SA,2024-08-27 19:44:38
122,waddan,29.1614,16.139,31.96,26,0,7.49,LY,2024-08-27 19:44:39
123,san antonio de pale,-1.4014,5.6325,23.57,81,69,5.6,GQ,2024-08-27 19:44:40
124,carnarvon,-24.8667,113.6333,18.19,77,0,5.39,AU,2024-08-27 19:39:07
125,pindushi,62.9152,34.58,13.9,88,50,3.28,RU,2024-08-27 19:44:43
126,afaahiti,-17.75,-149.2833,21.91,76,100,7.43,PF,2024-08-27 19:43:22
127,fortuna,40.5982,-124.1573,20.51,77,0,5.66,US,2024-08-27 19:44:45
128,dejen,10.1667,38.1333,12.14,90,100,2.34,ET,2024-08-27 19:44:46
129,nadym,65.5333,72.5167,13.66,81,21,3.51,RU,2024-08-27 19:44:47
130,tosontsengel,48.7567,98.2839,11.82,82,100,2.51,MN,2024-08-27 19:44:48
131,ridgecrest,35.6225,-117.6709,36.68,9,0,3.58,US,2024-08-27 19:44:50
132,piacabucu,-10.4056,-36.4344,23.89,81,34,4.62,BR,2024-08-27 19:44:51
133,mujiayingzi,42.1167,118.7833,14.81,69,0,2.5,CN,2024-08-27 19:44:52
134,acarau,-2.8856,-40.12,26.52,72,58,9.46,BR,2024-08-27 19:44:34
135,alofi,-19.0595,-169.9187,22.94,78,40,4.12,NU,2024-08-27 19:41:26
